"用例ID","模块","用例名称","前置条件","测试步骤","预期结果","备注"
"TC-001","登录","首页账号密码登录","已配置可用测试账号；首页可正常访问","1. 打开首页 2. 点击 Log In 3. 输入邮箱和密码 4. 提交登录","登录成功，系统识别为已登录状态","Smoke 用例"
"TC-002","首页导航","已登录后首页头部不再展示 Log In 入口","已配置可用测试账号；首页可访问","1. 使用账号密码登录 2. 校验用户已登录 3. 检查首页头部导航文案","登录成功后，首页头部导航中不再展示 Log In 入口","登录态导航"
"TC-003","首页导航","首页头部导航展示校验","首页可访问","1. 打开首页 2. 检查头部导航核心菜单项","首页头部导航核心菜单项展示完整且符合预期","导航展示"
"TC-004","首页导航","从非首页点击 Logo 返回首页","首页可访问","1. 从首页进入 Private Jet 页面 2. 等待页面加载完成 3. 点击头部 Logo 4. 校验当前页面与头部导航","点击 Logo 后成功返回首页，且首页头部导航展示正常","导航返回"
"TC-005","首页 Banner","首页 Banner 加载与链接校验","首页可访问","1. 打开首页 2. 检查 Hero Banner 是否展示 3. 校验 Banner 跳转链接","Banner 正常加载，且链接地址与预期目标一致","首页 Banner 校验"
"TC-006","首页 Banner","点击首页 Banner 跳转目标页","首页可访问","1. 打开首页 2. 点击 Hero Banner 3. 校验当前地址","页面成功跳转到 Banner 目标站点，且不再停留在首页","跳转校验"
"TC-007","首页搜索","首页搜索未填写出发地和目的地时提示必填","首页可访问","1. 打开首页 2. 不填写出发地和目的地直接点击 Search 3. 校验页面错误提示","页面展示至少 2 个地点必填提示，且仍停留在首页","必填校验"
"TC-008","首页搜索","首页搜索拒绝特殊字符出发地输入","首页可访问","1. 打开首页 2. 在出发地输入特殊字符但不选择下拉项 3. 输入有效目的地 4. 点击 Search 5. 校验页面错误提示","页面提示需要选择有效地点，且不会进入搜索结果页","输入校验 special_chars"
"TC-009","首页搜索","首页搜索拒绝超长出发地输入","首页可访问","1. 打开首页 2. 在出发地输入超长字符串但不选择下拉项 3. 输入有效目的地 4. 点击 Search 5. 校验页面错误提示","页面提示需要选择有效地点，且不会进入搜索结果页","输入校验 overlong"
"TC-010","首页搜索","首页搜索禁止出发城市与目的城市相同","首页可访问","1. 打开首页 2. 输入相同的出发城市和目的城市 3. 点击 Search 4. 校验页面错误提示","页面展示相同城市校验提示，且不会进入搜索结果页","业务规则校验"
"TC-011","首页热门航线","首页热门航线展示与详情页跳转校验","首页可访问","1. 打开首页 2. 获取热门航线可见链接 3. 校验至少展示 3 条航线且链接包含 /fixed-route-charter/ 4. 打开首条航线 5. 校验已进入详情页","热门航线模块正常展示有效航线，且可成功进入对应详情页","热门航线校验"
"TC-012","首页入口","首页进入 Private Jet 页面并校验内容","首页可访问","1. 从首页打开 Private Jet 页面 2. 等待页面加载 3. 检查页面关键内容 4. 检查图片是否损坏 5. 检查链接是否可访问","页面内容符合预期，且无损坏图片、无不可访问链接","入口页校验"
"TC-013","首页入口","首页进入 Jet Card 页面并提交表单","首页可访问","1. 从首页打开 Jet Card 页面 2. 等待页面加载 3. 填写姓名、邮箱、电话和留言 4. 提交表单","成功进入 Thank You 页面","表单提交"
"TC-014","首页入口","首页 Empty Leg 模块图片与预订弹窗校验","首页可访问","1. 检查 Empty Leg 模块图片 2. 打开预订弹窗 3. 填写姓名、邮箱、电话和留言 4. 提交表单","图片无损坏，且提交后成功进入 Thank You 页面","首页模块"
"TC-015","首页入口","首页进入 Travel Credit 页面并校验内容","首页可访问","1. 从首页打开 Travel Credit 页面 2. 等待页面加载 3. 检查页面关键内容 4. 检查内容图片是否损坏 5. 检查链接是否可访问","页面内容符合预期，且无损坏图片、无不可访问链接","入口页校验"
"TC-016","首页 Empty Leg","首页 Empty Leg 模块展示与价格校验","首页可访问","1. 打开首页 2. 检查 Empty Leg 模块是否展示 3. 校验模块图片无损坏 4. 校验价格列表存在且价格大于 0 5. 校验 Book 按钮数量","Empty Leg 模块正常展示，图片无损坏，存在有效价格，且至少有一个 Book 按钮","模块展示校验"
"TC-017","首页 Specialty Flights","首页 Specialty Flights 模块展示与 Tab 切换校验","首页可访问","1. 打开首页 2. 检查 Specialty Flights 模块是否展示 3. 依次点击各个 Tab 4. 校验 View All Destinations 链接随 Tab 更新 5. 校验每个 Tab 下至少展示 3 个目的地链接","Specialty Flights 模块展示正常，Tab 切换后链接更新正确，且每个场景下均有可访问目的地入口","Tab 交互校验"
"TC-018","首页 Specialty Flights","首页 Specialty Flights 的 View All Destinations 跳转校验","首页可访问","1. 打开首页 2. 切换到 Island Escapes Tab 3. 点击 View All Destinations 4. 校验跳转页面地址与文案","页面成功跳转到 /island-destination 落地页，并展示 Featured Island Destinations 文案","跳转校验"
"TC-019","首页 Footer","首页 Footer 信息入口与站内链接校验","首页可访问","1. 打开首页 2. 检查 Footer 关键入口是否展示 3. 校验 Footer 站内链接可访问","Footer 关键入口展示正常，且无不可访问的站内链接","Footer 链接校验"
"TC-020","报价提交","单程搜索结果页提交 Proposal","首页可访问；系统存在可搜索的随机城市对","1. 准备可搜索的城市对 2. 点击 Search 进入结果页 3. 校验有结果且价格有效 4. 选择最多 3 架飞机 5. 打开 Quote 弹窗并填写表单 6. 提交表单","成功进入 Thank You 页面","单程场景"
"TC-021","报价提交","往返搜索结果页提交 Proposal","首页可访问；系统存在可搜索的往返城市对","1. 选择 Round Trip 2. 准备可搜索的城市对 3. 点击 Search 进入结果页 4. 校验有结果且价格有效 5. 选择最多 3 架飞机 6. 填写并提交 Quote 表单","成功进入 Thank You 页面","往返场景"
"TC-022","报价提交","多航段搜索结果页提交 Proposal","首页可访问；系统存在可搜索的多城市路线","1. 选择 Multi City 2. 准备 4 个可搜索城市 3. 点击 Search 进入结果页 4. 校验有结果且价格有效 5. 选择最多 3 架飞机 6. 填写并提交 Quote 表单","成功进入 Thank You 页面","多航段场景"
"TC-023","Affiliate Partner","未登录点击 Join Us Today 需提示先登录","用户未登录；首页可访问","1. 从首页打开 Affiliate Partner 页面 2. 点击 Join Us Today","页面出现登录提示","权限校验"
"TC-024","Affiliate Partner","已登录用户重复提交 Affiliate Partner 表单提示已提交","已配置可用测试账号；首页可访问","1. 使用账号密码登录 2. 打开 Affiliate Partner 页面 3. 点击 Join Us Today 4. 填写 WhatsApp 和 WeChat 5. 提交表单","页面提示该用户已提交过申请","重复提交校验"
"TC-025","Services 菜单","Services - Empty Legs 页面校验","首页可访问","1. 打开 Services 菜单 2. 点击 Empty Legs 3. 等待 /empty-leg 页面 4. 校验关键文案 5. 校验按钮可点击状态 6. 校验站内链接可访问状态","页面包含 Empty Leg 文案，且无不可点击按钮、无不可访问站内链接","参数化场景"
"TC-026","Services 菜单","Services - On-Demand Charter 页面校验","首页可访问","1. 打开 Services 菜单 2. 点击 On-Demand Charter 3. 等待 /private-jet-charter 页面 4. 校验关键文案 5. 校验按钮可点击状态 6. 校验站内链接可访问状态","页面包含 Private Jet Charter 文案，且无不可点击按钮、无不可访问站内链接","参数化场景"
"TC-027","Services 菜单","Services - Group Charter 页面校验","首页可访问","1. 打开 Services 菜单 2. 点击 Group Charter 3. 等待 /group-air-charter 页面 4. 校验关键文案 5. 校验按钮可点击状态 6. 校验站内链接可访问状态","页面包含 Group Air Charter 文案，且无不可点击按钮、无不可访问站内链接","参数化场景"
"TC-028","Services 菜单","Services - Air Ambulance 页面校验","首页可访问","1. 打开 Services 菜单 2. 点击 Air Ambulance 3. 等待 /air-ambulance 页面 4. 校验关键文案 5. 校验按钮可点击状态 6. 校验站内链接可访问状态","页面包含 Air Ambulance 文案，且无不可点击按钮、无不可访问站内链接","参数化场景"
"TC-029","Services 菜单","Services - Corporate Charter 页面校验","首页可访问","1. 打开 Services 菜单 2. 点击 Corporate Charter 3. 等待 /corporate-air-charter 页面 4. 校验关键文案 5. 校验按钮可点击状态 6. 校验站内链接可访问状态","页面包含 Corporate 文案，且无不可点击按钮、无不可访问站内链接","参数化场景"
"TC-030","Services 菜单","Services - Pet Travel 页面校验","首页可访问","1. 打开 Services 菜单 2. 点击 Pet Travel 3. 等待 /pet-travel 页面 4. 校验关键文案 5. 校验按钮可点击状态 6. 校验站内链接可访问状态","页面包含 Pet 文案，且无不可点击按钮、无不可访问站内链接","参数化场景"
"TC-031","Services 菜单","Services - Event Charter 页面校验","首页可访问","1. 打开 Services 菜单 2. 点击 Event Charter 3. 等待 /event-air-charter 页面 4. 校验关键文案 5. 校验按钮可点击状态 6. 校验站内链接可访问状态","页面包含 Event 文案，且无不可点击按钮、无不可访问站内链接","参数化场景"
"TC-032","Company 菜单","Company - About Us 页面校验","首页可访问","1. 打开 Company 菜单 2. 点击 About Us 3. 等待 /about-us 页面 4. 校验关键文案 5. 校验图片是否损坏 6. 校验按钮可点击状态 7. 校验站内链接可访问状态","页面包含 Your Global Air Charter Partner 文案，且无损坏图片、无不可点击按钮、无不可访问站内链接","参数化场景"
"TC-033","Company 菜单","Company - Blogs 页面校验","首页可访问","1. 打开 Company 菜单 2. 点击 Blogs 3. 等待 /blogs 页面 4. 校验关键文案 5. 校验图片是否损坏 6. 校验按钮可点击状态 7. 校验站内链接可访问状态","页面包含 Exploring Private Aviation, Events and Insights 文案，且无损坏图片、无不可点击按钮、无不可访问站内链接","参数化场景"
"TC-034","Membership 页面","Membership - Jet Card 页面校验","首页可访问","1. 从首页打开 Jet Card 页面 2. 等待 /jet-card 页面 3. 校验关键文案 4. 校验图片是否损坏 5. 校验按钮可点击状态 6. 校验站内链接可访问状态","页面包含 The Ultimate Private Jet Membership 文案，且无损坏图片、无不可点击按钮、无不可访问站内链接","参数化场景"
"TC-035","Membership 页面","Membership - Travel Credit 页面校验","首页可访问","1. 从首页打开 Travel Credit 页面 2. 等待 /travel-credit 页面 3. 校验关键文案 4. 校验图片是否损坏 5. 校验按钮可点击状态 6. 校验站内链接可访问状态","页面包含 Earn More, Travel More 文案，且无损坏图片、无不可点击按钮、无不可访问站内链接","参数化场景"
"TC-036","Plan Your Flight 菜单","Plan Your Flight - How to Book 页面校验","首页可访问","1. 打开 Plan Your Flight 菜单 2. 点击 How to Book 3. 等待 /charter-guide/booking-process 页面 4. 点击全部 View More 入口 5. 校验关键文案、图片、按钮、链接","页面包含 How to Charter a Flight 文案，且无损坏图片、无不可点击按钮、无不可访问站内链接","若存在详情页入口则继续校验详情图文"
"TC-037","Plan Your Flight 菜单","Plan Your Flight - Empty Leg Recommendation 页面校验","首页可访问","1. 打开 Plan Your Flight 菜单 2. 点击 Empty Leg Recommendation 3. 等待 /charter-guide/empty-leg-recommendation 页面 4. 点击全部 View More 入口 5. 校验关键文案、图片、按钮、链接","页面包含 Learn more about Empty Legs Flight 文案，且无损坏图片、无不可点击按钮、无不可访问站内链接","若存在详情页入口则继续校验详情页图片"
"TC-038","Plan Your Flight 菜单","Plan Your Flight - Destinations 页面校验","首页可访问","1. 打开 Plan Your Flight 菜单 2. 点击 Destinations 3. 等待 /destination 页面 4. 点击全部 View More 入口 5. 校验关键文案、图片、按钮、链接","页面包含 Explore Exciting New Destinations with JETBAY 文案，且无损坏图片、无不可点击按钮、无不可访问站内链接","若存在详情页入口则继续校验详情图文"
"TC-039","Plan Your Flight 菜单","Plan Your Flight - Airports 页面校验","首页可访问","1. 打开 Plan Your Flight 菜单 2. 点击 Airports 3. 等待 /airports 页面 4. 点击全部 View More 入口 5. 校验关键文案、图片、按钮、链接","页面包含 Connecting You to Premier Private Jet Airports 文案，且无损坏图片、无不可点击按钮、无不可访问站内链接","若存在详情页入口则继续校验详情图文"
"TC-040","Plan Your Flight 菜单","Plan Your Flight - Video Centre 页面校验","首页可访问","1. 打开 Plan Your Flight 菜单 2. 点击 Video Centre 3. 等待 /charter-guide/video-centre 页面 4. 点击全部 View More 入口 5. 校验关键文案、图片、按钮、链接 6. 播放首个视频并校验","页面包含 Where Business Aviation Comes to Life 文案，且无损坏图片、无不可点击按钮、无不可访问站内链接，并且首个视频可播放","视频播放校验"
